"Player","Hands","VPIP","PFR","3Bet PF","2Bet PF & Fold","2Bet PF & Fold OOP","4Bet+ Ratio","RFI (EP)","RFI (MP)","RFI (CO)","RFI (BU)","RFI (SB)","CBet F","CBet T","Fold to F Float","Fold to T Float","CBet F & Fold","RCp XFf OOP","WTSD %","WWSF","WSD","Total AFq"
"fyrfem","1,216","20.92","18.40","9.19","52.17","44.44","2.40","22.63","17.50","24.53","41.18","47.37","54.26","43.24","52.94","66.67","55.56","0.00","30.41","48.85","53.03","52.28"
"GalnaAnlag","1,299","22.94","16.26","8.55","4.76","7.14","6.97","16.79","17.58","26.47","32.56","13.46","43.33","52.17","66.67","50.00","33.33","66.67","36.30","38.89","48.98","42.01"
"gard","1,173","57.44","5.02","1.15","20.00","0.00","1.25","4.20","5.84","8.27","4.49","8.62","23.33","0.00","50.00","-","0.00","-","22.06","38.47","40.60","39.30"
"GodisKlasse","1,667","21.23","15.82","5.15","54.84","53.85","2.04","17.51","22.22","30.00","36.94","35.71","52.29","52.63","47.37","100.00","0.00","-","25.78","43.34","54.95","43.61"
"gresabeten","1,415","34.01","22.97","12.95","32.56","25.93","2.67","24.14","29.19","35.58","56.25","22.92","49.71","58.33","42.86","50.00","52.94","72.73","17.38","42.38","60.27","48.99"
"Hanna94","2,932","23.86","21.03","8.00","56.04","57.69","1.89","21.97","25.07","28.86","50.00","39.69","39.93","48.15","60.61","33.33","64.29","50.00","24.87","44.39","56.94","46.57"
"Hardworkacee","1,809","15.39","10.45","4.21","26.09","22.22","0.44","10.64","12.60","10.11","23.91","31.15","54.84","47.62","53.33","33.33","0.00","133.33","23.08","42.49","49.21","47.46"
"HiluxConquest","3,866","29.20","25.49","9.10","41.48","40.26","0.60","26.55","30.99","32.46","41.37","37.58","75.23","35.20","97.30","82.14","75.86","74.07","25.20","39.42","58.40","50.28"
"Honorablefrank1","1,232","25.93","20.71","7.40","65.79","53.33","1.68","27.48","23.53","32.77","55.56","47.46","56.14","52.78","100.00","33.33","87.50","25.00","21.85","36.97","55.77","45.92"
"houdinilini","1,088","26.11","21.30","9.87","37.14","7.14","0.63","21.13","30.00","30.25","41.77","48.89","50.79","60.00","61.11","33.33","0.00","71.43","26.85","42.02","65.22","45.35"
"housegrey1678","2,195","22.62","19.64","7.17","43.55","41.38","2.11","16.67","24.08","31.50","39.18","44.55","42.00","75.00","72.00","66.67","20.00","57.14","25.19","40.81","61.00","49.30"
"HustleRain","4,304","28.99","20.15","8.54","34.95","36.73","1.79","21.89","25.58","26.58","35.01","37.19","62.73","40.58","74.19","68.18","50.00","58.82","26.77","40.56","65.22","43.64"
"iamloco","1,170","30.47","18.75","3.79","10.34","10.53","2.01","33.08","25.81","26.98","34.18","28.57","38.26","66.67","66.67","50.00","33.33","70.00","30.12","34.64","44.00","40.10"
"IcePenguin","7,857","28.85","20.22","9.33","39.18","35.59","2.87","19.11","21.80","25.66","47.79","36.19","70.00","70.37","67.74","83.33","53.19","68.75","24.46","43.69","49.20","58.36"
"INVOKER2","1,524","22.18","18.29","8.90","57.14","58.82","0.51","18.10","22.22","34.10","33.07","23.33","57.89","70.00","100.00","100.00","62.50","66.67","25.09","42.18","66.67","49.86"
"iRateDiggers","4,280","27.54","20.30","8.42","50.00","50.00","1.47","21.08","22.62","32.65","44.86","42.42","45.06","52.69","65.12","23.08","26.67","50.00","26.97","39.11","57.69","39.72"
"Ironfrog3309","1,952","24.39","22.04","11.08","63.77","62.07","1.62","20.43","23.39","38.33","48.68","41.98","55.03","37.93","69.57","50.00","28.57","80.00","26.50","42.45","56.99","49.09"
"Jarven75","1,329","48.73","32.49","10.27","17.54","20.00","4.37","38.00","44.31","43.41","50.34","53.01","36.84","50.00","63.64","0.00","12.50","57.14","37.60","37.79","50.00","36.45"
